duration: 05, msg_len: 100000, n_ranks: 4, iteration: 4, elapsed: too_large
duration: 05, msg_len: 100000, n_ranks: 4, iteration: 5, elapsed: too_large
duration: 05, msg_len: 1000000, n_ranks: 1, iteration: 1, elapsed: too_large
duration: 05, msg_len: 1000000, n_ranks: 1, iteration: 2, elapsed: too_large
duration: 05, msg_len: 1000000, n_ranks: 1, iteration: 3, elapsed: too_large
duration: 05, msg_len: 1000000, n_ranks: 1, iteration: 4, elapsed: too_large
duration: 05, msg_len: 1000000, n_ranks: 1, iteration: 5, elapsed: too_large
duration: 05, msg_len: 1000000, n_ranks: 2, iteration: 1, elapsed: too_large
duration: 05, msg_len: 1000000, n_ranks: 2, iteration: 2, elapsed: too_large
duration: 05, msg_len: 1000000, n_ranks: 2, iteration: 3, elapsed: too_large
duration: 05, msg_len: 1000000, n_ranks: 2, iteration: 4, elapsed: too_large
duration: 05, msg_len: 1000000, n_ranks: 2, iteration: 5, elapsed: too_large
duration: 05, msg_len: 1000000, n_ranks: 3, iteration: 1, elapsed: too_large
duration: 05, msg_len: 1000000, n_ranks: 3, iteration: 2, elapsed: too_large
duration: 05, msg_len: 1000000, n_ranks: 3, iteration: 3, elapsed: too_large
duration: 05, msg_len: 1000000, n_ranks: 3, iteration: 4, elapsed: too_large
duration: 05, msg_len: 1000000, n_ranks: 3, iteration: 5, elapsed: too_large
duration: 05, msg_len: 1000000, n_ranks: 4, iteration: 1, elapsed: too_large
duration: 05, msg_len: 1000000, n_ranks: 4, iteration: 2, elapsed: too_large
duration: 05, msg_len: 1000000, n_ranks: 4, iteration: 3, elapsed: too_large
duration: 05, msg_len: 1000000, n_ranks: 4, iteration: 4, elapsed: too_large
duration: 05, msg_len: 1000000, n_ranks: 4, iteration: 5, elapsed: too_large
duration: 10, msg_len: 100, n_ranks: 1, iteration: 1, elapsed: 4.289000
duration: 10, msg_len: 100, n_ranks: 1, iteration: 2, elapsed: 4.219157
duration: 10, msg_len: 100, n_ranks: 1, iteration: 3, elapsed: 4.210801
duration: 10, msg_len: 100, n_ranks: 1, iteration: 4, elapsed: 4.215258
duration: 10, msg_len: 100, n_ranks: 1, iteration: 5, elapsed: 4.209686
